s2,s1,match_type,iou,intersection_area,distance,date_s2,date_s1
S2A_MSIL2A_20230828T151711_N0510_R125_T18PYQ_20241019T034833.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-08-28,2023-09-29
S2A_MSIL2A_20230828T151711_N0510_R125_T18PYQ_20241019T034833_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-08-28,2023-09-29
S2A_MSIL2A_20230907T151711_N0510_R125_T18PYQ_20241031T164810.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-09-07,2023-09-29
S2A_MSIL2A_20230907T151711_N0510_R125_T18PYQ_20241031T164810_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-09-07,2023-09-29
S2A_MSIL2A_20230917T151711_N0510_R125_T18PYQ_20240915T141933.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-09-17,2023-09-29
S2A_MSIL2A_20230917T151711_N0510_R125_T18PYQ_20240915T141933_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-09-17,2023-09-29
S2A_MSIL2A_20230927T151711_N0510_R125_T18PYQ_20240915T104144.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-09-27,2023-09-29
S2A_MSIL2A_20230927T151711_N0510_R125_T18PYQ_20240915T104144_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-09-27,2023-09-29
S2A_MSIL2A_20231007T151711_N0510_R125_T18PYQ_20241108T103631.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-10-07,2023-09-29
S2A_MSIL2A_20231007T151711_N0510_R125_T18PYQ_20241108T103631_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-10-07,2023-09-29
S2A_MSIL2A_20231017T151701_N0510_R125_T18PYQ_20241020T165031.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-10-17,2023-09-29
S2A_MSIL2A_20231017T151701_N0510_R125_T18PYQ_20241020T165031_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-10-17,2023-09-29
S2A_MSIL2A_20231027T151721_N0510_R125_T18PYQ_20241107T154301.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-10-27,2023-09-29
S2A_MSIL2A_20231027T151721_N0510_R125_T18PYQ_20241107T154301_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-10-27,2023-09-29
S2A_MSIL2A_20231116T151721_N0510_R125_T18PYQ_20241109T113411.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-11-16,2023-09-29
S2A_MSIL2A_20231116T151721_N0510_R125_T18PYQ_20241109T113411_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-11-16,2023-09-29
S2A_MSIL2A_20231126T151711_N0510_R125_T18PYQ_20241109T163729.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-11-26,2023-09-29
S2A_MSIL2A_20231126T151711_N0510_R125_T18PYQ_20241109T163729_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-11-26,2023-09-29
S2A_MSIL2A_20231206T151711_N0510_R125_T18PYQ_20241114T063232.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-12-06,2023-09-29
S2A_MSIL2A_20231206T151711_N0510_R125_T18PYQ_20241114T063232_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-12-06,2023-09-29
S2A_MSIL2A_20231216T151721_N0510_R125_T18PYQ_20231216T180621.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-12-16,2023-09-29
S2A_MSIL2A_20231216T151721_N0510_R125_T18PYQ_20231216T180621_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-12-16,2023-09-29
S2A_MSIL2A_20231226T151721_N0510_R125_T18PYQ_20231226T180352.SAFE,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-12-26,2023-09-29
S2A_MSIL2A_20231226T151721_N0510_R125_T18PYQ_20231226T180352_bands_B02_B03_B04_B08_R10m.tif,S1A_IW_GRDH_1SDV_20230929T230709_20230929T230738_050549_0616B2_224B.SAFE,nearest,72.182605,0.0,72.182605,2023-12-26,2023-09-29
